Date,Time,DateTime,tempC,I,K,GPP,ER,NEP,FCO2,Chlorophyll_RFU,Cond_¦ÌS_cm,Depth_m,fDOM_QSU,fDOM_RFU,nLF_Cond_¦ÌS_cm,ODO_per_sat,ODO_per_local,ODO_mg_L,Pressure_psi_a,Sal_psu,SpCond_¦ÌS_cm,TAL_PC_RFU,TDS_mg_L,Turbidity_FNU,pH,Vertical_Position_m,Light_lux
7/2/2022,0:08:08,7/2/2022 0:08,21.815,0,0.016406253,0,0.040167249,-0.040167249,-0.055229967,0.23,235.6,0.33,23.81,7.93,252.1,66.5,67.6,5.83,0.164,0.12,250.6,0.08,163,-2.31,7.72,0.332,0
7/2/2022,0:13:08,7/2/2022 0:13,21.809,0,0.016403909,0,0.040150548,-0.040150548,-0.055207003,0.22,235.3,0.329,23.89,7.96,252,66.3,67.4,5.81,0.164,0.12,250.5,0.08,163,-1.99,7.72,0.332,0
7/2/2022,0:18:08,7/2/2022 0:18,21.777,0,0.016391413,0,0.040061594,-0.040061594,-0.055084692,0.23,235.3,0.33,23.89,7.96,252,66.4,67.6,5.83,0.164,0.12,250.6,0.07,163,-2.19,7.72,0.333,0
7/2/2022,0:23:08,7/2/2022 0:23,21.736,0,0.016375416,0,0.03994791,-0.03994791,-0.054928376,0.24,235,0.33,23.95,7.98,251.9,66.5,67.6,5.83,0.164,0.12,250.4,0.07,163,-2.25,7.72,0.328,0
7/2/2022,0:28:08,7/2/2022 0:28,21.743,0,0.016378146,0,0.039967296,-0.039967296,-0.054955033,0.23,234.7,0.329,23.94,7.98,251.9,66.8,67.9,5.87,0.163,0.12,250.3,0.08,163,-2.19,7.72,0.332,0
7/2/2022,0:33:08,7/2/2022 0:33,21.708,0,0.016364501,0,0.039870457,-0.039870457,-0.054821879,0.25,235,0.329,23.91,7.97,252,66.4,67.5,5.83,0.163,0.12,250.5,0.07,163,-2.24,7.72,0.328,0
7/2/2022,0:38:08,7/2/2022 0:38,21.684,0,0.016355151,0,0.039804189,-0.039804189,-0.05473076,0.26,234.5,0.33,23.94,7.98,251.8,66.6,67.7,5.85,0.165,0.12,250.2,0.06,163,-2.23,7.72,0.329,0
7/2/2022,0:43:08,7/2/2022 0:43,21.673,0,0.016350867,0,0.039773853,-0.039773853,-0.054689047,0.22,234.3,0.33,23.98,7.99,251.7,66.7,67.8,5.86,0.165,0.12,250.1,0.07,163,-2.08,7.72,0.33,0
7/2/2022,0:48:08,7/2/2022 0:48,21.666,0,0.016348141,0,0.03975456,-0.03975456,-0.05466252,0.22,234.3,0.33,23.95,7.98,251.7,66.5,67.6,5.85,0.165,0.12,250.2,0.1,163,-2.21,7.72,0.329,0
7/2/2022,0:53:08,7/2/2022 0:53,21.64,0,0.016338022,0,0.039682983,-0.039682983,-0.054564101,0.22,234.3,0.331,23.99,8,251.7,66.4,67.5,5.84,0.166,0.12,250.2,0.07,163,-2.13,7.72,0.33,0
7/2/2022,0:58:08,7/2/2022 0:58,21.619,0,0.016329854,0,0.039625264,-0.039625264,-0.054484739,0.24,234.1,0.331,24.07,8.02,251.7,66.4,67.6,5.85,0.167,0.12,250.2,0.12,163,-2.3,7.72,0.331,0
7/2/2022,1:03:08,7/2/2022 1:03,21.605,0,0.01632441,0,0.039586832,-0.039586832,-0.054431894,0.22,233.8,0.33,24.02,8.01,251.5,66.5,67.7,5.86,0.165,0.12,250,0.09,162,-2.21,7.72,0.329,0
7/2/2022,1:08:08,7/2/2022 1:08,21.589,0,0.016318191,0,0.039542955,-0.039542955,-0.054371564,0.22,233.8,0.33,24.1,8.03,251.6,66.6,67.7,5.86,0.165,0.12,250,0.09,163,-2.26,7.72,0.33,0
7/2/2022,1:13:08,7/2/2022 1:13,21.577,0,0.016313529,0,0.03951008,-0.03951008,-0.05432636,0.24,233.7,0.329,24.07,8.02,251.6,66.5,67.6,5.86,0.163,0.12,250,0.09,162,-2.14,7.72,0.328,0
7/2/2022,1:18:08,7/2/2022 1:18,21.551,0,0.016303431,0,0.039438943,-0.039438943,-0.054228546,0.24,233.6,0.329,24.07,8.02,251.5,66.4,67.5,5.85,0.163,0.12,250,0.08,162,-2.04,7.72,0.328,0
7/2/2022,1:23:08,7/2/2022 1:23,21.538,0,0.016298385,0,0.039403422,-0.039403422,-0.054179706,0.22,233.4,0.328,24.11,8.04,251.5,66.4,67.5,5.85,0.161,0.12,249.9,0.12,162,-2.21,7.72,0.327,0
7/2/2022,1:28:08,7/2/2022 1:28,21.515,0,0.01628946,0,0.039340657,-0.039340657,-0.054093403,0.25,233.3,0.327,24.07,8.02,251.5,66.5,67.6,5.87,0.16,0.12,249.9,0.1,162,-1.83,7.72,0.326,0
7/2/2022,1:33:08,7/2/2022 1:33,21.486,0,0.016278214,0,0.03926166,-0.03926166,-0.053984783,0.24,233.1,0.326,24.14,8.05,251.4,66.5,67.6,5.86,0.159,0.12,249.8,0.08,162,-2.06,7.72,0.325,0
7/2/2022,1:38:08,7/2/2022 1:38,21.481,0,0.016276276,0,0.039248056,-0.039248056,-0.053966077,0.24,232.7,0.326,24.17,8.06,251.1,66.7,67.8,5.89,0.159,0.12,249.5,0.09,162,-2,7.72,0.325,0
7/2/2022,1:43:08,7/2/2022 1:43,21.471,0,0.0162724,0,0.039220862,-0.039220862,-0.053928686,0.22,232.8,0.325,24.12,8.04,251.2,66.7,67.8,5.89,0.158,0.12,249.6,0.07,162,-2.15,7.72,0.324,0
7/2/2022,1:48:08,7/2/2022 1:48,21.455,0,0.016266201,0,0.039177391,-0.039177391,-0.053868913,0.23,232.8,0.325,24.14,8.05,251.3,66.6,67.7,5.88,0.157,0.12,249.6,0.09,162,-2.15,7.72,0.324,0
7/2/2022,1:53:08,7/2/2022 1:53,21.453,0,0.016265427,0,0.039171961,-0.039171961,-0.053861446,0.4,232.6,0.325,24.16,8.05,251.1,66.5,67.6,5.87,0.158,0.12,249.5,0.13,162,-2.2,7.72,0.326,0
7/2/2022,1:58:08,7/2/2022 1:58,21.419,0,0.016252262,0,0.039079757,-0.039079757,-0.053734666,0.25,232.7,0.324,24.13,8.04,251.2,66.4,67.5,5.87,0.156,0.12,249.6,0.1,162,-2.04,7.72,0.322,0
7/2/2022,2:03:08,7/2/2022 2:03,21.416,0,0.016251101,0,0.039071632,-0.039071632,-0.053723494,0.24,232.3,0.324,24.21,8.07,251,66.6,67.7,5.88,0.156,0.12,249.4,0.07,162,-1.8,7.72,0.327,0
7/2/2022,2:08:08,7/2/2022 2:08,21.397,0,0.01624375,0,0.039020211,-0.039020211,-0.053652791,0.25,232.4,0.324,24.26,8.08,251.1,66.4,67.6,5.87,0.156,0.12,249.5,0.12,162,-2.17,7.72,0.326,0
7/2/2022,2:13:08,7/2/2022 2:13,21.381,0,0.016237562,0,0.038976963,-0.038976963,-0.053593324,0.24,232.3,0.324,24.23,8.08,251.1,66.7,67.8,5.9,0.155,0.12,249.4,0.09,162,-2.22,7.72,0.326,0
7/2/2022,2:18:08,7/2/2022 2:18,21.368,0,0.016232535,0,0.038941858,-0.038941858,-0.053545055,0.25,232.1,0.323,24.26,8.09,251,66.8,67.9,5.91,0.155,0.12,249.3,0.13,162,-2.12,7.72,0.326,0
7/2/2022,2:23:08,7/2/2022 2:23,21.338,0,0.016220943,0,0.038860969,-0.038860969,-0.053433832,0.22,232.1,0.324,24.27,8.09,251.1,66.7,67.9,5.9,0.156,0.12,249.4,0.08,162,-2.16,7.72,0.326,0
7/2/2022,2:28:08,7/2/2022 2:28,21.33,0,0.016217853,0,0.038839427,-0.038839427,-0.053404212,0.24,231.9,0.324,24.23,8.08,251,67.2,68.3,5.95,0.156,0.12,249.3,0.08,162,-2.2,7.72,0.326,0
7/2/2022,2:33:08,7/2/2022 2:33,21.315,0,0.01621206,0,0.038799068,-0.038799068,-0.053348718,0.24,231.9,0.323,24.28,8.09,251,67.1,68.2,5.94,0.155,0.12,249.3,0.12,162,-2.01,7.72,0.326,0
7/2/2022,2:38:08,7/2/2022 2:38,21.308,0,0.016209358,0,0.038780248,-0.038780248,-0.05332284,0.24,231.7,0.323,24.27,8.09,251,66.9,68.1,5.93,0.154,0.12,249.3,0.11,162,-2.11,7.72,0.321,0
7/2/2022,2:43:08,7/2/2022 2:43,21.305,0,0.0162082,0,0.038772185,-0.038772185,-0.053311754,0.24,231.8,0.323,24.25,8.08,251,67,68.1,5.93,0.154,0.12,249.3,0.07,162,-2.18,7.72,0.321,0
7/2/2022,2:48:08,7/2/2022 2:48,21.284,0,0.016200096,0,0.038715791,-0.038715791,-0.053234213,0.3,231.8,0.322,24.31,8.1,251.1,66.7,67.9,5.91,0.153,0.12,249.4,0.11,162,-2.18,7.72,0.324,0
7/2/2022,2:53:08,7/2/2022 2:53,21.273,0,0.016195853,0,0.038686284,-0.038686284,-0.053193641,0.23,231.7,0.322,24.3,8.1,251.1,67,68.1,5.93,0.153,0.12,249.4,0.1,162,-2.19,7.73,0.324,0
7/2/2022,2:58:08,7/2/2022 2:58,21.275,0,0.016196625,0,0.038691648,-0.038691648,-0.053201016,0.25,231.7,0.322,24.32,8.1,251.2,66.9,68,5.93,0.153,0.12,249.5,0.12,162,-1.99,7.73,0.324,0
