Date,Site,Month,Season,Max_DO,Min_DO,DO_Magnitude,Max_DO_DateTime,Max_DO_Time,Min_DO_DateTime,Min_DO_Time,Max_Temp_c,Min_Temp_c,Temp_c_Magnitude,Max_Temp_c_DateTime,Max_Temp_c_Time,Min_Temp_c_DateTime,Min_Temp_c_Time
5/24/2022,Site1,5,Spring,9.419,6.304,3.115,5/24/2022 14:30,14:30,5/24/2022 23:40,23:40,22.147,17.748,4.399,5/24/2022 15:10,15:10,5/24/2022 7:20,7:20
5/25/2022,Site1,5,Spring,8.222,6.306,1.916,5/25/2022 15:10,15:10,5/25/2022 0:20,0:20,21.738,19.102,2.636,5/25/2022 16:40,16:40,5/25/2022 3:20,3:20
5/26/2022,Site1,5,Spring,7.964,6.426,1.538,5/26/2022 14:10,14:10,5/26/2022 4:30,4:30,21.571,19.018,2.553,5/26/2022 17:10,17:10,5/26/2022 23:50,23:50
6/4/2022,Site1,6,Summer,10.42,6.32,4.1,6/4/2022 14:04,14:04,6/4/2022 0:04,0:04,25.319,17.211,8.108,6/4/2022 16:14,16:14,6/4/2022 7:04,7:04
6/5/2022,Site1,6,Summer,10.42,6.05,4.37,6/5/2022 14:04,14:04,6/5/2022 23:04,23:04,25.849,17.342,8.507,6/5/2022 16:14,16:14,6/5/2022 6:54,6:54
6/6/2022,Site1,6,Summer,10.44,6.16,4.28,6/6/2022 13:44,13:44,6/6/2022 2:14,2:14,22.688,18.914,3.774,6/6/2022 14:24,14:24,6/6/2022 6:44,6:44
6/7/2022,Site1,6,Summer,9.67,6.27,3.4,6/7/2022 13:54,13:54,6/7/2022 4:54,4:54,24.939,20.113,4.826,6/7/2022 15:14,15:14,6/7/2022 6:54,6:54
7/2/2022,Site1,7,Summer,10.670427,4.5071,6.163327,7/2/2022 13:54,13:54,7/2/2022 5:54,5:54,27.352,20.81,6.542,7/2/2022 17:24,17:24,7/2/2022 6:14,6:14
7/3/2022,Site1,7,Summer,10.004787,3.682668,6.322119,7/3/2022 12:24,12:24,7/3/2022 22:24,22:24,27.692,21.863,5.829,7/3/2022 14:14,14:14,7/3/2022 5:54,5:54
7/4/2022,Site1,7,Summer,10.281701,3.611693,6.670008,7/4/2022 14:34,14:34,7/4/2022 4:14,4:14,29.025,21.479,7.546,7/4/2022 16:34,16:34,7/4/2022 7:14,7:14
